title,price,img_path,category_id,description
Banana Cake,76,img/products/6a9750c7fb598da418ab30027cbfeb6f.jpg,1,"Enjoy the moist and flavorful taste of ripe bananas infused into every bite of our Banana Cake."
Berries Cake,75,img/products/d6e1bad05c6dcf8e277554d5d68672fd.jpg,1,"Treat yourself to a slice of summer with our Berries Cake, where layers of moist cake are infused with the sweetness of mixed berries, creating a dessert that's as beautiful as it is delicious."
Caramel Cake,62,img/products/9dca75e0907f7071a1e5b693c833d6d8.jpg,1,"Indulge in the decadent sweetness of our Caramel Cake, where layers of moist cake are adorned with creamy caramel frosting, creating a symphony of flavor that's simply irresistible."
Chocolate Cake,55,img/products/fcad9b7b143478b9c610c1456492ef5b.jpg,1,"Indulge your senses with our Chocolate Cake, a moist and luxurious dessert that captivates with its rich chocolate flavor and velvety texture, making every bite a moment of pure bliss."
Everything Cake,62,img/products/22744b27c619c00ed2bf014857e79e77.jpg,1,"Indulge in a symphony of flavors with our Everything Cake, where layers of moist cake are adorned with a variety of sweet delights, creating a celebration-worthy dessert that's sure to impress."
Lemon Cake,62,img/products/2db80580fb4f6d9c2ddcc4fa4d9f1bde.jpg,1,"Savor the tangy delight of our Lemon Cake, where each bite bursts with vibrant citrus flavor. Experience the perfect balance of tartness and sweetness, crafted to tantalize your taste buds and leave you craving more."
Matcha Jasmin Cake,71,img/products/d72c3ce5602a6a018e226150ef5627b8.jpg,1,"Embark on a culinary journey with our Matcha Jasmin Cake, where the delicate flavors of matcha and jasmine meld harmoniously in a moist and flavorful dessert that's as beautiful as it is delicious."
Strawberry Cake,54,img/products/dcea748eee91f2cd036eb36f7734d358.jpg,1,"Indulge in the sweet and fruity delight of our Strawberry Cake, bursting with the essence of fresh strawberries."
Vanilla Lemon Cake,76,img/products/3062fe00edf11d89bc4bf13029c9b0a2.jpg,1,"Savor the delicate blend of vanilla and lemon in our Vanilla Lemon Cake, where moist cake meets zesty citrus flavor, creating a dessert that's as refreshing as it is delicious."
Butterscotch Cheesecake,77,img/products/f9a5f5e2bd55e9744e00fa306f959c41.jpg,2,"Experience sheer indulgence with our Butterscotch Cheesecake, where creamy cheesecake meets rich butterscotch flavor, resulting in a dessert that's simply divine."
Caramel Cheesecake,54,img/products/b7229de1dc18a36f99c37edf6423ee0a.jpg,2,"Experience sheer delight with our Caramel Cheesecake, where velvety caramel meets creamy cheesecake, creating a luscious dessert that melts in your mouth with each heavenly bite."
Cherries Cheesecake,69,img/products/482a4ad57cca52e5ae13a16c01b1787f.jpg,2,"Delight in the rich and creamy texture of our Cheesecake infused with luscious cherries, offering a delightful blend of flavors."
Chocolate Cheesecake,69,img/products/f15ed3df902020519470516ceb4bbced.jpg,2,"Experience the rich and velvety delight of our Chocolate Cheesecake, where every bite is a blissful encounter with creamy chocolate perfection."
Double Caramel Cheesecake,70,img/products/3d2db7dacb831d5085d755a6f34c454d.jpg,2,"Delight in the luxurious layers of our Double Caramel Cheesecake, where smooth caramel melds flawlessly with creamy cheesecake, offering a double dose of indulgence in every forkful."
